#separator:tab
#html:false
      In element notation, A is the [...]	          In element notation, A is the Mass number                Khan Academy Link
MileDown::General_Chemistry::Bonding Give the formula for formal charge   Formal Charge = [...]	"MileDown::General_Chemistry::Bonding     Give the formula for formal charge   Formal Charge = valence electrons − dots − sticks             ""Dots"" are nonbonding electrons  ""Sticks"" are pairs of bonding electrons     Khan Academy Link"
MileDown::General_Chemistry::Intermolecular_Forces     O is the hydrogen bond [acceptor or donor]   N is the hydrogen bond [acceptor or donor]	MileDown::General_Chemistry::Intermolecular_Forces         O is the hydrogen bond acceptor   N is the hydrogen bond donor              The acceptor must possess a lone electron pair The donor is usually strongly electronegative       Khan Academy Link
MileDown::General_Chemistry::Bonding The bond angle of an sp hybridized atom is [...]	MileDown::General_Chemistry::Bonding     The bond angle of an sp hybridized atom is 180°               Khan Academy Link
MileDown::General_Chemistry::Bonding The bond angle of an sp2 hybridized atom is [...]	MileDown::General_Chemistry::Bonding     The bond angle of an sp2 hybridized atom is 120°                Khan Academy Link
MileDown::General_Chemistry::Bonding The bond angle of an sp3 hybridized atom is [...]	MileDown::General_Chemistry::Bonding     The bond angle of an sp3 hybridized atom is 109.5°                Khan Academy Link
MileDown::General_Chemistry::Bonding Bond angles of an sp3d hybridized atom are [...] and [...]	MileDown::General_Chemistry::Bonding     Bond angles of an sp3d hybridized atom are 90° and 120°                YouTube Link
MileDown::General_Chemistry::Bonding The bond angle of an sp3d2 hybridized atom is [...]	MileDown::General_Chemistry::Bonding     The bond angle of an sp3d2 hybridized atom is 90°               YouTube Link
MileDown::General_Chemistry::Bonding An H2O molecule is a bent because [...]	MileDown::General_Chemistry::Bonding     An H2O molecule is a bent because the lone pair of electrons repulse each other and push the H atoms away                YouTube Link
MileDown::General_Chemistry::Compounds An [...] formula is the simplest whole-number ratio of atoms	MileDown::General_Chemistry::Compounds     An empirical formula is the simplest whole-number ratio of atoms                 Khan Academy Link
MileDown::General_Chemistry::Compounds The [...] formula shows the exact number of atoms of each element	MileDown::General_Chemistry::Compounds     The molecular formula shows the exact number of atoms of each element             It is a multiple of the empirical formula      Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics [...] is a number that relates the rate of a chemical reaction to the concentrations of the reacting substances	MileDown::General_Chemistry::Chemical_Kinetics     Reaction order is a number that relates the rate of a chemical reaction to the concentrations of the reacting substances             The sum of all the exponents of the concentrations of substances determines the rate of the reaction      In the above example, the overall order = a + b   Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics For a zeroth order reaction:   Rate Law: [...]   Integrated Rate Law: [...]	MileDown::General_Chemistry::Chemical_Kinetics     For a zeroth order reaction:   Rate Law:    Integrated Rate Law:                 Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics For a first order reaction:   Rate Law: [...]   Integrated Rate Law: [...]	MileDown::General_Chemistry::Chemical_Kinetics     For a first order reaction:   Rate Law:    Integrated Rate Law:                 Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics For a second order reaction:   Rate Law: [...]   Integrated Rate Law: [...]	MileDown::General_Chemistry::Chemical_Kinetics     For a second order reaction:   Rate Law:    Integrated Rate Law:                 Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics The units for the rate constant of a zeroth order reaction are   [...]	MileDown::General_Chemistry::Chemical_Kinetics     The units for the rate constant of a zeroth order reaction are                   Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics The units for the rate constant of a first order reaction are   [...]	MileDown::General_Chemistry::Chemical_Kinetics     The units for the rate constant of a first order reaction are                    Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics The units for the rate constant of a second order reaction are   [...]	MileDown::General_Chemistry::Chemical_Kinetics     The units for the rate constant of a second order reaction are                    Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics    The order of this reaction is [...]	MileDown::General_Chemistry::Chemical_Kinetics        The order of this reaction is zeroth order               YouTube Link
MileDown::General_Chemistry::Chemical_Kinetics    The order of this reaction is [...]	MileDown::General_Chemistry::Chemical_Kinetics        The order of this reaction is first order               YouTube Link
MileDown::General_Chemistry::Chemical_Kinetics    The order of this reaction is [...]	MileDown::General_Chemistry::Chemical_Kinetics        The order of this reaction is second order              YouTube Link
MileDown::General_Chemistry::Chemical_Kinetics In [...] reactions, a single reactant breaks down	MileDown::General_Chemistry::Chemical_Kinetics     In decomposition reactions, a single reactant breaks down               YouTube Link
MileDown::General_Chemistry::Chemical_Kinetics [...] are exothermic reactions in which something reacts with oxygen	"MileDown::General_Chemistry::Chemical_Kinetics     Combustion reactions are exothermic reactions in which something reacts with oxygen             Commonly known as ""burning""      YouTube Link"
MileDown::General_Chemistry::Chemical_Kinetics A/an [...] reaction is when an acid and base react to form water and salt	MileDown::General_Chemistry::Chemical_Kinetics     A/an neutralization reaction is when an acid and base react to form water and salt            A type of double-replacement reaction     Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics A/an [...] reaction uses water to break the bonds in a molecule	MileDown::General_Chemistry::Chemical_Kinetics     A/an hydrolysis reaction uses water to break the bonds in a molecule                Khan Academy Link
MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Chemical_Kinetics MileDown::General_Chemistry::Equations Give the Arrhenius equation:   [...]	MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Chemical_Kinetics MileDown::General_Chemistry::Equations     Give the Arrhenius equation:                You can use the Arrhenius equation to show the effect of a change of temperature on the rate constant and therefore on the rate of the reaction    k = rate constant A = frequency factor Ea = activation energy R = gas constant T = temperature in K      Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics If temperature goes up, the rate constant goes [up or down] and the reaction speed goes [up or down]	MileDown::General_Chemistry::Chemical_Kinetics     If temperature goes up, the rate constant goes up and the reaction speed goes up              This is because the exponent gets closer to 0. The exponent becomes less negative     Khan Academy Link
MileDown::General_Chemistry::Equilibrium The [...] is a measure of the relative amounts of products and reactants present in a reaction at a given time	MileDown::General_Chemistry::Equilibrium     The reaction quotient (Qc) is a measure of the relative amounts of products and reactants present in a reaction at a given time             Exclude pure solids and liquids      Khan Academy Link
MileDown::General_Chemistry::Equilibrium You exclude pure solids and liquids in the reaction quotient and equilibrium constant because [...]	MileDown::General_Chemistry::Equilibrium     You exclude pure solids and liquids in the reaction quotient and equilibrium constant because their effective concentrations stay constant throughout the reaction             They are disregarded and their activity is given the value of 1      YouTube Link
MileDown::General_Chemistry::Equilibrium If Q < Keq, then the reaction will move to the [...]	MileDown::General_Chemistry::Equilibrium     If Q < Keq, then the reaction will move to the right               YouTube Link
MileDown::General_Chemistry::Equilibrium A reaction is at equilibrium if Q = [...]	MileDown::General_Chemistry::Equilibrium     A reaction is at equilibrium if Q = Keq                YouTube Link
MileDown::General_Chemistry::Equilibrium If Q > Keq, then the reaction will move to the [...]	MileDown::General_Chemistry::Equilibrium     If Q > Keq, then the reaction will move to the left                 YouTube Link
MileDown::General_Chemistry::Chemical_Kinetics Kinetic products are [higher or lower] in free energy compared to thermodynamic products and can form at [higher or lower] temperatures	MileDown::General_Chemistry::Chemical_Kinetics     Kinetic products are higher in free energy compared to thermodynamic products and can form at lower temperatures                Khan Academy Link
MileDown::General_Chemistry::Chemical_Kinetics Thermodynamic products are [higher or lower] in free energy compared to kinetic products and they are [more or less] stable	MileDown::General_Chemistry::Chemical_Kinetics     Thermodynamic products are lower in free energy compared to kinetic products and they are more stable                 Khan Academy Link
MileDown::General_Chemistry::Equilibrium Le Châtelier’s Principle states that if a stress is applied to a system, the system [...]	MileDown::General_Chemistry::Equilibrium     Le Châtelier’s Principle states that if a stress is applied to a system, the system shifts to relieve that applied stress                Khan Academy Link
MileDown::General_Chemistry::Thermochemistry Standard conditions are [...] K, [...] atm, [...] M	MileDown::General_Chemistry::Thermochemistry     Standard conditions are 273 K, 1 atm, 1 M              YouTube Link
MileDown::General_Chemistry::Thermochemistry [...] is the phase change from solid to liquid	"MileDown::General_Chemistry::Thermochemistry     Fusion is the phase change from solid to liquid             Also known as ""melting""    YouTube Link"
MileDown::General_Chemistry::Thermochemistry [...] is the phase change from liquid to solid	MileDown::General_Chemistry::Thermochemistry     Freezing is the phase change from liquid to solid              YouTube Link
MileDown::General_Chemistry::Thermochemistry [...] is the phase change form liquid to gas	MileDown::General_Chemistry::Thermochemistry     Vaporization is the phase change form liquid to gas              YouTube Link
MileDown::General_Chemistry::Thermochemistry [...] is the phase change from solid to gas	MileDown::General_Chemistry::Thermochemistry     Sublimation is the phase change from solid to gas               YouTube Link
MileDown::General_Chemistry::Thermochemistry   No cloze ⁨1⁩ found on card. Please either add a cloze deletion, or use the Empty Cards tool. More information	No cloze ⁨1⁩ found on card. Please either add a cloze deletion, or use the Empty Cards tool. More information
MileDown::General_Chemistry::Thermochemistry    Label the phases in the phase diagram   [...]	MileDown::General_Chemistry::Thermochemistry        Label the phases in the phase diagram                Khan Academy Link
MileDown::General_Chemistry::Thermochemistry The point in phase diagram where all 3 phases exist is known as the [...]	MileDown::General_Chemistry::Thermochemistry     The point in phase diagram where all 3 phases exist is known as the triple point                Khan Academy Link
MileDown::General_Chemistry::Thermochemistry A/an [...] fluid is one in which the density of gas = density of liquid	MileDown::General_Chemistry::Thermochemistry     A/an supercritical fluid is one in which the density of gas = density of liquid             No distinction between those two phases       Khan Academy Link
MileDown::General_Chemistry::Thermochemistry [...] combines enthalpy and entropy into a single value and is used to determine the spontaneity of a reaction	MileDown::General_Chemistry::Thermochemistry     Gibbs Free Energy combines enthalpy and entropy into a single value and is used to determine the spontaneity of a reaction             We are only concerned with changes in G, rather than its absolute value       Gibbs free energy = (change enthalpy) - (temperature x change in entropy)  Khan Academy Link
MileDown::General_Chemistry::Thermochemistry If a reaction has a positive ∆H and positive ∆S, then it will be [spontaneous or non-spontaneous] at [high, low, or all] temperatures	MileDown::General_Chemistry::Thermochemistry     If a reaction has a positive ∆H and positive ∆S, then it will be spontaneous at high temperatures                  Khan Academy Link
MileDown::General_Chemistry::Thermochemistry If a reaction has a positive ∆H and negative ∆S, then it will be [spontaneous or non-spontaneous] at [high, low, or all] temperatures	MileDown::General_Chemistry::Thermochemistry     If a reaction has a positive ∆H and negative ∆S, then it will be non-spontaneous at all temperatures                  Khan Academy Link
MileDown::General_Chemistry::Thermochemistry If a reaction has a negative ∆H and positive ∆S, then it will be [spontaneous or non-spontaneous] at [high, low, or all] temperatures	MileDown::General_Chemistry::Thermochemistry     If a reaction has a negative ∆H and positive ∆S, then it will be spontaneous at all temperatures                   Khan Academy Link
MileDown::General_Chemistry::Thermochemistry If a reaction has a negative ∆H and negative ∆S, then it will be [spontaneous or non-spontaneous] at [high, low, or all] temperatures	MileDown::General_Chemistry::Thermochemistry     If a reaction has a negative ∆H and negative ∆S, then it will be spontaneous at low temperatures                   Khan Academy Link
MileDown::General_Chemistry::Thermochemistry Room temperature is approximately [...] Celsius	MileDown::General_Chemistry::Thermochemistry     Room temperature is approximately 25° Celsius            25°C = 75°F
MileDown::General_Chemistry::Thermochemistry Body temperature is approximately [...] Celsius	MileDown::General_Chemistry::Thermochemistry     Body temperature is approximately 37°C Celsius            37°C = 98.6°F
MileDown::General_Chemistry::Thermochemistry [...] is a measure of the potential energy of a system found in intermolecular attractions and chemical bonds	MileDown::General_Chemistry::Thermochemistry     Enthalpy (H) is a measure of the potential energy of a system found in intermolecular attractions and chemical bonds                Khan Academy Link
MileDown::General_Chemistry::Thermochemistry Phase changes from solid → liquid → gas are [endothermic or exothermic]	MileDown::General_Chemistry::Thermochemistry     Phase changes from solid → liquid → gas are endothermic             Gases have more heat energy than liquids and liquids have more heat energy than solids     YouTube Link
MileDown::General_Chemistry::Thermochemistry Phase changes from gas → liquid → solid are [endothermic or exothermic]	MileDown::General_Chemistry::Thermochemistry     Phase changes from gas → liquid → solid are exothermic             These reactions release heat energy      YouTube Link
MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry Give the formula for ∆H when using heat of formations   [...]	MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry     Give the formula for ∆H when using heat of formations                Khan Academy Link
MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry Give the formula for ∆H when using bond dissociation energies   [...]	MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry     Give the formula for ∆H when using bond dissociation energies               Khan Academy Link
MileDown::General_Chemistry::Thermochemistry [...] is a measure of how much energy has spread out or how spread out energy has become	MileDown::General_Chemistry::Thermochemistry     Entropy is a measure of how much energy has spread out or how spread out energy has become                Khan Academy Link
MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry Give the formula for the standard entropy of reaction   [...]	MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry     Give the formula for the standard entropy of reaction                YouTube Link
MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry Give the Gibbs Free Energy equation that uses the equilibrium constant Keq   [...]	MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry     Give the Gibbs Free Energy equation that uses the equilibrium constant Keq               Khan Academy Link
MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry Give the Gibbs Free Energy equations that use the reaction quotient Q   [...]   [...]	MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Thermochemistry     Give the Gibbs Free Energy equations that use the reaction quotient Q                   YouTube Link
MileDown::General_Chemistry::Thermochemistry If ∆G < O, the reaction will be [...]	MileDown::General_Chemistry::Thermochemistry     If ∆G < O, the reaction will be spontaneous               Khan Academy Link
MileDown::General_Chemistry::Thermochemistry If ∆G = O, the reaction will be [...]	MileDown::General_Chemistry::Thermochemistry     If ∆G = O, the reaction will be at equilibrium               Khan Academy Link
MileDown::General_Chemistry::Thermochemistry If ∆G > O, the reaction will be [...]	MileDown::General_Chemistry::Thermochemistry     If ∆G > O, the reaction will be non-spontaneous                Khan Academy Link
  Orbits that are farther from the nucleus have [increased or decreased] energy	      Orbits that are farther from the nucleus have increased energy               Khan Academy Link
  If an electron moves to a farther orbital, a photon is [...]	      If an electron moves to a farther orbital, a photon is absorbed              If n goes up, a photon is absorbed If n goes down, a photon is emitted     Khan Academy Link
